#RPLIDAR SCAN DATA
#COUNT=434
#Angule	Distance	Quality
231.4984 2168.0 188
232.2180 2145.0 188
232.9211 2124.0 188
234.3274 1402.0 188
235.0305 1405.0 188
236.4368 2028.0 188
237.1399 2011.0 188
237.8430 1994.0 188
239.2493 841.0 188
240.6665 910.0 188
241.3696 920.0 188
242.7759 779.0 188
243.4790 765.0 188
244.1821 757.0 188
244.8853 751.0 188
245.5884 747.0 188
246.2915 745.0 188
247.0111 746.0 188
247.7142 747.0 188
248.4174 747.0 188
249.1205 741.0 188
249.8236 735.0 188
250.5267 727.0 188
251.2299 720.0 188
251.9330 719.0 188
252.6361 721.0 188
253.3392 724.0 188
254.0588 729.0 188
254.7620 735.0 188
255.4651 740.0 188
256.1682 747.0 188
256.8713 755.0 188
257.5745 763.0 188
258.2776 772.0 188
258.9807 782.0 188
259.6838 793.0 188
260.4034 804.0 188
261.0901 817.0 188
261.7932 833.0 188
262.4963 852.0 188
263.1995 873.0 188
264.6057 1657.0 188
265.3088 1659.0 188
266.0120 1669.0 188
266.7151 1668.0 188
267.4182 1666.0 188
268.1213 1665.0 188
268.8245 1663.0 188
269.5276 1662.0 188
270.2307 1662.0 188
270.9338 1664.0 188
271.6370 1664.0 188
272.3401 1664.0 188
273.0432 1664.0 188
273.7463 1664.0 188
274.4495 1664.0 188
275.1526 1664.0 188
275.8557 1665.0 188
276.5588 1668.0 188
277.2620 1668.0 188
277.9651 1669.0 188
278.6682 1673.0 188
279.3713 1677.0 188
280.0745 1678.0 188
280.7776 1680.0 188
281.4807 1685.0 188
282.1838 1690.0 188
282.8870 1695.0 188
283.5901 1699.0 188
284.2932 1703.0 188
284.9963 1708.0 188
285.6995 1716.0 188
286.4026 1722.0 188
287.1057 1718.0 188
287.8088 1723.0 188
288.5120 1739.0 188
289.2151 1746.0 188
289.9182 1754.0 188
290.6213 1761.0 188
291.3245 1769.0 188
292.0276 1777.0 188
292.7307 1784.0 188
294.8566 1805.0 188
295.5597 1822.0 188
296.2628 1825.0 188
298.3722 1860.0 188
299.0753 1876.0 188
299.7949 1890.0 188
300.4980 1904.0 188
301.2012 1917.0 188
301.9043 1931.0 188
302.6074 1948.0 188
303.3105 1965.0 188
304.0137 1981.0 188
304.7168 1997.0 188
305.4364 2015.0 188
306.1395 2034.0 188
306.8427 2054.0 188
307.5458 2074.0 188
308.2489 2093.0 188
308.9520 2115.0 188
309.6552 2130.0 188
310.3583 2151.0 188
311.0779 2179.0 188
311.7810 2203.0 188
312.4841 2228.0 188
313.1873 2252.0 188
313.8904 2278.0 188
314.5935 2305.0 188
315.2966 2332.0 188
315.9998 2362.0 188
316.7139 2392.0 188
317.4170 2421.0 188
318.1201 2451.0 188
319.5264 526.0 188
320.9326 511.0 188
323.0420 2720.0 188
324.4482 1534.0 188
325.1514 1531.0 188
326.5576 2689.0 188
327.2607 2667.0 188
327.9639 2646.0 188
328.6670 2624.0 188
329.3701 2603.0 188
330.0732 2583.0 188
330.7764 2562.0 188
331.4960 2542.0 188
332.1991 2524.0 188
332.9022 2506.0 188
333.6053 2489.0 188
334.3085 2471.0 188
335.0116 2454.0 188
335.7147 2433.0 188
336.4178 2407.0 188
337.1210 2397.0 188
337.8241 2394.0 188
338.5272 2383.0 188
339.2303 2372.0 188
339.9335 2358.0 188
340.6366 2345.0 188
341.3397 2337.0 188
342.0428 2328.0 188
342.7460 2319.0 188
343.4491 2309.0 188
344.1522 2299.0 188
344.8718 2292.0 188
345.5750 2283.0 188
346.2781 2274.0 188
346.9977 2267.0 188
347.7008 2259.0 188
348.4039 2252.0 188
349.8267 1218.0 188
351.2494 2229.0 188
351.9525 2218.0 188
352.6556 2212.0 188
353.3698 2203.0 188
354.0729 2187.0 188
354.7760 2194.0 188
355.4956 2204.0 188
356.1987 2200.0 188
357.6215 1664.0 188
358.3246 1661.0 188
